path,modality,study,status,transfer_syntax,width,height,components,bits_allocated,frames,src_bytes,j2k_bytes,enc_seconds,dec_seconds,detail
LocalDatasets/medical-dicom-organized/ct/study_005/instance_003054.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528876,157373,0.1273,0.0432,
LocalDatasets/medical-dicom-organized/mr/study_005/instance_001243.dcm,mr,study_005,OK,1.2.840.10008.1.2,192,192,1,0,1,167444,17567,0.1587,0.0437,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_001794.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528872,140963,0.1571,0.0264,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_001598.dcm,mr,study_004,OK,1.2.840.10008.1.2,192,192,1,0,1,167452,21553,0.1411,0.0283,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_006101.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528962,153905,0.1437,0.0433,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_000657.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528892,146354,0.1924,0.0346,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_002060.dcm,mr,study_002,OK,1.2.840.10008.1.2,512,272,1,0,1,385448,50227,0.1574,0.0445,
LocalDatasets/medical-dicom-organized/mr/study_003/instance_000359.dcm,mr,study_003,OK,1.2.840.10008.1.2,320,290,1,0,1,303730,71274,0.1599,0.0449,
LocalDatasets/medical-dicom-organized/mr/study_005/instance_001935.dcm,mr,study_005,OK,1.2.840.10008.1.2,512,512,1,0,1,619466,69224,0.1433,0.0493,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_000489.dcm,mr,study_002,OK,1.2.840.10008.1.2,270,320,1,0,1,286712,50940,0.0774,0.0235,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_000646.dcm,mr,study_002,OK,1.2.840.10008.1.2,512,512,1,0,1,618118,71731,0.0989,0.0162,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_001880.dcm,mr,study_004,OK,1.2.840.10008.1.2,256,256,1,0,1,236124,37957,0.1237,0.0292,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_000197.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528834,147742,0.2058,0.0475,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_003202.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528884,148455,0.225,0.0484,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_004305.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528970,313338,0.2087,0.0363,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_003188.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528914,147600,0.2472,0.0655,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_003023.dcm,mr,study_004,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528870,281882,0.2388,0.0651,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_004831.dcm,mr,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528970,335144,0.1549,0.1061,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_001316.dcm,mr,study_002,OK,1.2.840.10008.1.2,180,180,1,0,1,174270,20546,0.1825,0.0563,
LocalDatasets/medical-dicom-organized/mr/study_005/instance_001661.dcm,mr,study_005,OK,1.2.840.10008.1.2,260,320,1,0,1,295066,66999,0.2777,0.0375,
LocalDatasets/medical-dicom-organized/ct/study_002/instance_001034.dcm,ct,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528856,156463,0.2731,0.0674,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_003176.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528884,148476,0.2717,0.0614,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_000031.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528924,152314,0.2238,0.0813,
LocalDatasets/medical-dicom-organized/ct/study_001/instance_002180.dcm,ct,study_001,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528864,152171,0.2312,0.0902,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_004161.dcm,mr,study_004,OK,1.2.840.10008.1.2.1,512,1192,1,0,1,1225130,469820,0.3101,0.0481,
LocalDatasets/medical-dicom-organized/mr/study_003/instance_001073.dcm,mr,study_003,OK,1.2.840.10008.1.2,176,256,1,0,1,190796,21466,0.1194,0.0156,
LocalDatasets/medical-dicom-organized/mr/study_005/instance_000394.dcm,mr,study_005,OK,1.2.840.10008.1.2,160,160,1,0,1,147308,9875,0.132,0.0175,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_000601.dcm,mr,study_004,OK,1.2.840.10008.1.2.1,160,160,1,0,1,216550,14127,0.0835,0.023,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_002468.dcm,mr,study_002,OK,1.2.840.10008.1.2,512,512,1,0,1,619554,73662,0.1187,0.0335,
LocalDatasets/medical-dicom-organized/ct/study_002/instance_000087.dcm,ct,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528842,294068,0.1436,0.0507,
LocalDatasets/medical-dicom-organized/ct/study_002/instance_000633.dcm,ct,study_002,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528856,273404,0.1592,0.0537,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_000217.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528880,152708,0.1906,0.0534,
LocalDatasets/medical-dicom-organized/mr/study_001/instance_000732.dcm,mr,study_001,OK,1.2.840.10008.1.2,256,208,1,0,1,220392,40483,0.1105,0.0371,
LocalDatasets/medical-dicom-organized/ct/study_003/instance_002390.dcm,ct,study_003,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528916,153544,0.1511,0.0326,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_000194.dcm,mr,study_004,OK,1.2.840.10008.1.2.1,512,656,1,0,1,676310,80123,0.1972,0.0236,
LocalDatasets/medical-dicom-organized/mr/study_002/instance_001324.dcm,mr,study_002,OK,1.2.840.10008.1.2,180,180,1,0,1,174266,19672,0.0961,0.0115,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_003370.dcm,mr,study_004,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528866,150081,0.1451,0.0495,
LocalDatasets/medical-dicom-organized/mr/study_004/instance_000666.dcm,mr,study_004,OK,1.2.840.10008.1.2.1,160,160,1,0,1,216544,16321,0.1127,0.018,
LocalDatasets/medical-dicom-organized/ct/study_005/instance_002516.dcm,ct,study_005,OK,1.2.840.10008.1.2.1,512,512,1,0,1,528886,153388,0.1461,0.0354,
